date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:41:53	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Dec%202015%2002:41:53%20GMT	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icon.ttf	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icon.ttf	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/flexslider.css)
21:41:54	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Dec%202015%2002:41:53%20GMT	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icon.svg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/fonts/flexslider-icon.svg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/flexslider.css)
21:41:54	12395/12395	---M--	200	added ('OK')	text/css	etag:%224cc1b08-306b-517f7de178e80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/style/masterslider.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/style/masterslider.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/home-master.html)
21:41:54	3936/3936	---M--	200	added ('OK')	text/css	etag:%224cc1a58-f60-517f7df2a3700%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/skins/default/style.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/skins/default/style.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/home-master.html)
21:41:54	4235/4235	---M--	200	added ('OK')	text/css	etag:%224cc0102-108b-517f7d174b180%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/master-slider-custom.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/css/master-slider-custom.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/home-master.html)
21:41:55	43/43	---M--	200	added ('OK')	image/gif	etag:%224cc1adb-2b-517f7dd9d7c80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/style/blank.gif	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/style/blank.gif	(from http://bootstraplovers.com/templates/bizwrap-v1.6/home-master.html)
21:42:18	268121/268121	---M--	200	added ('OK')	image/jpeg	etag:%224cc011f-41759-517f7d46fa200%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/img-6.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/img-6.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/style.css)
21:42:19	644/644	---M--	200	added ('OK')	application/javascript	etag:%224cc19ff-284-517f7d5824a80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/js/masterslider-custom.js	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/js/masterslider-custom.js	(from http://bootstraplovers.com/templates/bizwrap-v1.6/home-master.html)
21:42:20	155574/155574	---M--	200	added ('OK')	application/javascript	etag:%224cc1a2f-25fb6-517f7dd607380%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/js/masterslider.min.js	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/js/masterslider.min.js	(from http://bootstraplovers.com/templates/bizwrap-v1.6/home-master.html)
21:42:44	144143/144143	---M--	200	added ('OK')	image/jpeg	etag:%224cc197a-2330f-517f7dd04e600%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/work/work-7.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/work/work-7.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio.html)
